"requirement_id","top_level_requirement","section_id","section_title","requirement_text","testing_procedures","customized_approach_objective","applicability_notes","purpose","good_practice","examples","definitions","further_information"
"11.3.2","11","11.3","","External vulnerability scans are performed as

follows: • At least once every three months. • By a PCI SSC Approved Scanning Vendor
(ASV). • Vulnerabilities are resolved and ASV Program requirements for a passing scan are met.
Guide • Rescans are performed as needed to confirm that vulnerabilities are resolved per the ASV
Program Guide requirements for a passing scan.","Examine ASV scan reports from the last
11.3.2.a
12 months to verify that external vulnerability scans occurred at least once every three months in the most recent 12-month period.
Examine the ASV scan report from each
11.3.2.b scan and rescan run in the last 12 months to verify that vulnerabilities are resolved and the ASV
Program Guide requirements for a passing scan are met.
Examine the ASV scan reports to verify
11.3.2.c that the scans were completed by a PCI SSC
Approved Scanning Vendor (ASV).","This requirement is not eligible for the customized approach.","For initial PCI DSS compliance, it is not required that four passing scans be completed within 12 months if the assessor verifies:
1) the most recent scan result was a passing scan, 2) the entity has documented policies and procedures requiring scanning at least once every three months, and 3) vulnerabilities noted in the scan results have been corrected as shown in a re-scan(s).
(continued on next page)","Attackers routinely look for unpatched or vulnerable externally facing servers, which can be leveraged to launch a directed attack.
Organizations must ensure these externally facing devices are regularly scanned for weaknesses and that vulnerabilities are patched or remediated to protect the entity.
Because external networks are at greater risk of compromise, external vulnerability scanning must be performed at least once every three months by a PCI SSC Approved Scanning Vendor (ASV).","While scans are required at least once every three months, more frequent scans are recommended depending on the network complexity, frequency of change, and types of devices, software, and operating systems used.
Multiple scan reports can be combined to show that all systems were scanned and that all applicable vulnerabilities were resolved as part of the three-month vulnerability scan cycle.
However, additional documentation may be required to verify non-remediated vulnerabilities are in the process of being resolved.","","",""
"11.3.2.1","11","11.3",".2.1 External vulnerability scans are performed after any significant change as follows: • Vulnerabilities that are scored 4.0 or higher by the CVSS are resolved.","External vulnerability scans are performed after any significant change as follows: • Vulnerabilities that are scored 4.0 or higher by the CVSS are resolved. • Rescans are conducted as needed. • Scans are performed by qualified personnel and organizational independence of the tester exists
(not required to be a QSA or ASV).","11.3.2.1.a
Examine change control documentation and external scan reports to verify that system components were scanned after any significant changes.
Interview personnel and examine
11.3.2.1.b external scan and rescan reports to verify that external scans were performed after significant changes and that vulnerabilities scored 4.0 or higher by the CVSS were resolved.","The security posture of all system components is verified following significant changes to the network or systems, by using tools designed to detect vulnerabilities operating from outside the network.
Detected vulnerabilities are assessed and rectified based on a formal risk assessment framework.","","Scanning an environment after any significant changes ensures that changes were completed appropriately such that the security of the environment was not compromised because of the change.","Entities should include the need to perform scans after significant changes as part of the change process and before the change is considered complete. All system components affected by the change will need to be scanned.
Interview personnel to verify that
11.3.2.1.c external scans are performed by a qualified internal resource(s) or qualified external third party and that organizational independence of the tester exists.","","",""
"11.4.2","11","11.4","","Internal penetration testing is performed: • Per the entity's defined methodology, • At least once every 12 months • After any significant infrastructure or application upgrade or change • By a qualified internal resource or qualified external third-party • Organizational independence of the tester exists
(not required to be a QSA or ASV).","Examine the scope of work and results
11.4.2.a from the most recent internal penetration test to verify that penetration testing is performed in accordance with all elements specified in this requirement.
11.4.2.b
Interview personnel to verify that the internal penetration test was performed by a qualified internal resource or qualified external third-party and that organizational independence of the tester exists (not required to be a QSA or
ASV).
Defined Approach Testing Procedures
Examine the scope of work and results
11.4.3.a from the most recent external penetration test to verify that penetration testing is performed according to all elements specified in this requirement.
Interview personnel to verify that the
11.4.3.b external penetration test was performed by a qualified internal resource or qualified external third-party and that organizational independence of the tester exists (not required to be a QSA or
ASV).","Internal system defenses are verified by technical testing according to the entity's defined methodology as frequently as needed to address evolving and new attacks and threats and ensure that significant changes do not introduce unknown vulnerabilities.
Defined Approach
Requirements
External penetration testing is performed:
11.4.3 • Per the entity's defined methodology • At least once every 12 months • After any significant infrastructure or application upgrade or change • By a qualified internal resource or qualified external third party • Organizational independence of the tester exists
(not required to be a QSA or ASV).
(continued on next page)","","Internal penetration testing serves two purposes.
Firstly, just like an external penetration test, it discovers vulnerabilities and misconfigurations that could be used by an attacker that had managed to get some degree of access to the internal network, whether that is because the attacker is an authorized user conducting unauthorized activities, or an external attacker that had managed to penetrate the entity's perimeter.
Secondly, internal penetration testing also helps entities to discover where their change control process failed by detecting previously unknown systems.
Additionally, it verifies the status of many of the controls operating within the CDE.
A penetration test is not truly a ""test"" because the outcome of a penetration test is not something that can be classified as a ""pass"" or a
""fail."" The best outcome of a test is a catalog of vulnerabilities and misconfigurations that an entity did not know about and the penetration tester found them before an attacker could. A penetration test that found nothing is typically indicative of shortcomings of the penetration tester, rather than being a positive reflection of the security posture of the entity.","Some considerations when choosing a qualified resource to perform penetration testing include: • Specific penetration testing certifications, which may be an indication of the tester's skill level and competence.
(continued on next page)","","",""
"11.4.4","11","11.4",".4 Exploitable vulnerabilities and security weaknesses found during penetration testing are corrected as follows: • In accordance with the entity's assessment of the risk posed by the security issue as defined in Requirement 6.3.1. • Penetration testing is repeated to verify the corrections. Customized Approach Objective Vulnerabilities and security weaknesses found while verifying system defenses are mitigated.","Exploitable vulnerabilities and security weaknesses found during penetration testing are corrected as follows: • In accordance with the entity's assessment of the risk posed by the security issue as defined in
Requirement 6.3.1. • Penetration testing is repeated to verify the corrections.","Examine penetration testing results to verify that noted exploitable vulnerabilities and security weaknesses were corrected in accordance with all elements specified in this requirement.","Vulnerabilities and security weaknesses found while verifying system defenses are mitigated.","","The results of a penetration test are usually a prioritized list of vulnerabilities discovered by the exercise. Often a tester will have chained a number of vulnerabilities together to compromise a system component. Remediating the vulnerabilities found by a penetration test significantly reduces the probability that the same vulnerabilities will be exploited by a malicious attacker.
Using the entity's own vulnerability risk assessment process (see requirement 6.3.1)
ensures that the vulnerabilities that pose the highest risk to the entity will be remediated more quickly.","As part of the entity's assessment of risk, entities should consider how likely the vulnerability is to be exploited and whether there are other controls present in the environment to reduce the risk.
Any weaknesses that point to PCI DSS requirements not being met should be addressed.","","",""
"11.4.5","11","11.4",".5 If segmentation is used to isolate the CDE from other networks, penetration tests are performed on segmentation controls as follows: • At least once every 12 months and after any changes to segmentation controls/methods","If segmentation is used to isolate the CDE from other networks, penetration tests are performed on segmentation controls as follows: • At least once every 12 months and after any changes to segmentation controls/methods • Covering all segmentation controls/methods in use. • According to the entity's defined penetration testing methodology. • Confirming that the segmentation controls/methods are operational and effective, and isolate the CDE from all out-of-scope systems. • Confirming effectiveness of any use of isolation to separate systems with differing security levels
(see Requirement 2.2.3). • Performed by a qualified internal resource or qualified external third party. • Organizational independence of the tester exists
(not required to be a QSA or ASV).","11.4.5.a
Examine segmentation controls and review penetration-testing methodology to verify that penetration-testing procedures are defined to test all segmentation methods in accordance with all elements specified in this requirement.
Examine the results from the most recent
11.4.5.b penetration test to verify the penetration test covers and addresses all elements specified in this requirement.
be a QSA or ASV).","If segmentation is used, it is verified periodically by technical testing to be continually effective, including after any changes, in isolating the CDE from all out of-scope systems.","","When an entity uses segmentation controls to isolate the CDE from internal untrusted networks, the security of the CDE is dependent on that segmentation functioning. Many attacks have involved the attacker moving laterally from what an entity deemed an isolated network into the
CDE. Using penetration testing tools and techniques to validate that an untrusted network is indeed isolated from the CDE can alert the entity to a failure or misconfiguration of the segmentation controls, which can then be rectified.","Techniques such as host discovery and port scanning can be used to verify out-of-scope
Interview personnel to verify that the test
11.4.5.c was performed by a qualified internal resource or qualified external third party and that organizational independence of the tester exists (not required to segments have no access to the CDE.","","",""
"11.4.6","11","11.4",".6 Additional requirement for service If segmentation is used to isolate providers only: the CDE from other networks, penetration tests are performed on segmentation controls as follows: • At least once every six months and after any","Additional requirement for service
If segmentation is used to isolate providers only:
the CDE from other networks, penetration tests are performed on segmentation controls as follows: • At least once every six months and after any changes to segmentation controls/methods. • Covering all segmentation controls/methods in use. • According to the entity's defined penetration testing methodology. • Confirming that the segmentation controls/methods are operational and effective, and isolate the CDE from all out-of-scope systems. • Confirming effectiveness of any use of isolation to separate systems with differing security levels
(see Requirement 2.2.3). • Performed by a qualified internal resource or qualified external third party. • Organizational independence of the tester exists
(not required to be a QSA or ASV).","11.4.6.a
Additional testing procedure for
Examine service provider assessments only:
the results from the most recent penetration test to verify that the penetration covers and addressed all elements specified in this requirement.
11.4.6.b
Additional testing procedure for
Interview service provider assessments only:
personnel to verify that the test was performed by a qualified internal resource or qualified external third party and that organizational independence of the tester exists (not required to be a QSA or
ASV).","If segmentation is used, it is verified by technical testing to be continually effective, including after any changes, in isolating the CDE from out-of-scope systems.","This requirement applies only when the entity being assessed is a service provider.","Service providers typically have access to greater volumes of cardholder data or can provide an entry point that can be exploited to then compromise multiple other entities. Service providers also typically have larger and more complex networks that are subject to more frequent change. The probability of segmentation controls failing in complex and dynamic networks is greater in service provider environments.
Validating segmentation controls more frequently is likely to discover such failings before they can be exploited by an attacker attempting to pivot laterally from an out-of-scope untrusted network to the CDE.","Although the requirement specifies that this scope validation is carried out at least once every six months and after significant change, this exercise should be performed as frequently as possible to ensure it remains effective at isolating the CDE from other networks.","","",""
"11.4.7","11","11.4",".7 Additional requirement for multi-tenant Multi-tenant service service providers only: providers support their customers for external penetration testing per Requirement 11.4.3 and 11.4.4.","Additional requirement for multi-tenant
Multi-tenant service service providers only:
providers support their customers for external penetration testing per Requirement 11.4.3 and
11.4.4.","Additional testing procedure for multi
Examine evidence tenant service providers only:
to verify that multi-tenant service providers support their customers for external penetration testing per
Requirement 11.4.3 and 11.4.4.","Multi-tenant service providers support their customers' need for technical testing either by providing access or evidence that comparable technical testing has been undertaken.","","Entities need to conduct penetration tests in accordance with PCI DSS to simulate attacker behavior and discover vulnerabilities in their environment. In shared and cloud environments, the multi-tenant service provider may be concerned about the activities of a penetration tester affecting other customers' systems.
Multi-tenant service providers cannot forbid penetration testing because this would leave their customers' systems open to exploitation.
Therefore, multi-tenant service providers must support customer requests to conduct penetration testing or for penetration testing results.","","","",""
"11.5.1","11","11.5","","Intrusion-detection and/or intrusion

prevention techniques are used to detect and/or prevent intrusions into the network as follows: • All traffic is monitored at the perimeter of the
CDE. • All traffic is monitored at critical points in the
CDE. • Personnel are alerted to suspected compromises. • All intrusion-detection and prevention engines, baselines, and signatures are kept up to date.","Examine system configurations and
11.5.1.a network diagrams to verify that intrusion-detection and/or intrusion-prevention techniques are in place to monitor all traffic: • At the perimeter of the CDE. • At critical points in the CDE.
Examine system configurations and
11.5.1.b interview responsible personnel to verify intrusion detection and/or intrusion-prevention techniques alert personnel of suspected compromises.","","","Intrusion-detection and/or intrusion-prevention techniques (such as IDS/IPS) compare the traffic coming into the network with known ""signatures"" and/or behaviors of thousands of compromise types (hacker tools, Trojans, and other malware), and then send alerts and/or stop the attempt as it happens. Without a proactive approach to detect unauthorized activity, attacks on (or misuse of)
computer resources could go unnoticed for long periods of time. The impact of an intrusion into the
CDE is, in many ways, a factor of the time that an attacker has in the environment before being detected.
(continued on next page)","","","",""
"11.5.1.1","11","11.5",".1.1 Additional requirement for service providers only: Intrusion-detection and/or intrusion-prevention techniques detect, alert on/prevent, and address covert malware communication channels.","Additional requirement for service providers only:
Intrusion-detection and/or intrusion-prevention techniques detect, alert on/prevent, and address covert malware communication channels.","11.5.1.1.a
Additional testing procedure for service provider assessments only:
Examine documentation and configuration settings to verify that methods to detect and alert on/prevent covert malware communication channels are in place and operating.
11.5.1.1.b
Additional testing procedure for
Examine service provider assessments only:
the entity's incident-response plan (Requirement
12.10.1) to verify it requires and defines a response in the event that covert malware communication channels are detected.
11.5.1.1.c
Additional testing procedure for
Interview service provider assessments only:
responsible personnel and observe processes to verify that personnel maintain knowledge of covert malware communication and control techniques and are knowledgeable about how to respond when malware is suspected.","Mechanisms are in place to detect and alert/prevent covert communications with command-and-control systems. Alerts generated by these mechanisms are responded to by personnel, or by automated means that ensure that such communications are blocked.","This requirement applies only when the entity being assessed is a service provider.
This requirement is a best practice until 31 March
2025, after which it will be required and must be fully considered during a PCI DSS assessment.","Detecting covert malware communication attempts (for example, DNS tunneling) can help block the spread of malware laterally inside a network and the exfiltration of data. When deciding where to place this control, entities should consider critical locations in the network, and likely routes for covert channels.
When malware establishes a foothold in an infected environment, it often tries to establish a communication channel to a command-and control (C&C) server. Through the C&C server, the attacker communicates with and controls malware on compromised systems to deliver malicious payloads or instructions, or to initiate data exfiltration. In many cases, the malware will communicate with the C&C server indirectly via botnets, bypassing monitoring, blocking controls, and rendering these methods ineffective to detect the covert channels.","Methods that can help detect and address malware communications channels include real time endpoint scanning, egress traffic filtering, an
""allow"" listing, data loss prevention tools, and network security monitoring tools such as
IDS/IPS. Additionally, DNS queries and responses are a key data source used by network defenders in support of incident response as well as intrusion discovery. When these transactions are collected for processing and analytics, they can enable a number of valuable security analytic scenarios.
It is important that organizations maintain up-to date knowledge of malware modes of operation, as mitigating these can help detect and limit the impact of malware in the environment.","","",""
"11.5.2","11","11.5","","A change-detection mechanism (for example,

file integrity monitoring tools) is deployed as follows: • To alert personnel to unauthorized modification
(including changes, additions, and deletions) of critical files. • To perform critical file comparisons at least once weekly.","Examine system settings, monitored files,
11.5.2.a and results from monitoring activities to verify the use of a change-detection mechanism.
Examine settings for the change-detection
11.5.2.b mechanism to verify it is configured in accordance with all elements specified in this requirement.","Critical files cannot be modified by unauthorized personnel without an alert being generated.","For change-detection purposes, critical files are usually those that do not regularly change, but the modification of which could indicate a system compromise or risk of compromise. Change detection mechanisms such as file integrity monitoring products usually come pre-configured with critical files for the related operating system.
Other critical files, such as those for custom applications, must be evaluated and defined by the entity (that is, the merchant or service provider).","Changes to critical system, configuration, or content files can be an indicator an attacker has accessed an organization's system. Such changes can allow an attacker to take additional malicious actions, access cardholder data, and/or conduct activities without detection or record.
A change detection mechanism will detect and evaluate such changes to critical files and generate alerts that can be responded to following defined processes so that personnel can take appropriate actions.
If not implemented properly and the output of the change-detection solution monitored, a malicious individual could add, remove, or alter configuration file contents, operating system programs, or application executables.
Unauthorized changes, if undetected, could render existing security controls ineffective and/or result in cardholder data being stolen with no perceptible impact to normal processing.","Examples of the types of files that should be monitored include, but are not limited to: • System executables. • Application executables. • Configuration and parameter files. • Centrally stored, historical, or archived audit logs. • Additional critical files determined by entity (for example, through risk assessment or other means).","Change-detection solutions such as file integrity monitoring (FIM) tools check for changes, additions, and deletions to critical files, and notify when such changes are detected.","",""
"11.6.1","11","11.6","","A change- and tamper-detection mechanism

is deployed as follows: • To alert personnel to unauthorized modification
(including indicators of compromise, changes, additions, and deletions) to the HTTP headers and the contents of payment pages as received by the consumer browser. • The mechanism is configured to evaluate the received HTTP header and payment page. • The mechanism functions are performed as follows:
–
At least once every seven days
OR
–
Periodically (at the frequency defined in the entity's targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1).","Examine system settings, monitored
11.6.1.a payment pages, and results from monitoring activities to verify the use of a change- and tamper detection mechanism.
Examine configuration settings to verify
11.6.1.b the mechanism is configured in accordance with all elements specified in this requirement.
If the mechanism functions are performed
11.6.1.c at an entity-defined frequency, examine the entity's targeted risk analysis for determining the frequency to verify the risk analysis was performed in accordance with all elements specified at
Requirement 12.3.1. • At the frequency defined in the entity's targeted risk analysis performed for this requirement.","E-commerce skimming code or techniques cannot be added to payment pages as received by the consumer browser without a timely alert being generated. Anti-skimming measures cannot be removed from payment pages without a prompt alert being generated.","","Many web pages now rely on assembling objects, including active content (primarily JavaScript), from multiple internet locations. Additionally, the content of many web pages is defined using content management and tag management systems that may not be possible to monitor using traditional change detection mechanisms.
Therefore, the only place to detect changes or indicators of malicious activity is in the consumer browser as the page is constructed and all
JavaScript interpreted.
By comparing the current version of the HTTP header and the active content of payment pages as received by the consumer browser with prior or known versions, it is possible to detect unauthorized changes that may indicate a skimming attack.
Additionally, by looking for known indicators of compromise and script elements or behavior typical of skimmers, suspicious alerts can be raised.
Examine configuration settings and
11.6.1.d interview personnel to verify the mechanism functions are performed either: • At least once every seven days
OR
(continued on next page)","","","",""
"12.1.2","12","12.1","","The information security policy is: • Reviewed at least once every 12 months. • Updated as needed to reflect changes to business objectives or risks to the environment.","Examine the information security policy and

interview responsible personnel to verify the policy is managed in accordance with all elements specified in this requirement.","The information security policy continues to reflect the organization's strategic objectives and principles.","","Security threats and associated protection methods evolve rapidly. Without updating the information security policy to reflect relevant changes, new measures to defend against these threats may not be addressed.","","","",""
"12.1.3","12","12.1",".3 The security policy clearly defines information security roles and responsibilities for all personnel, and all personnel are aware of and","The security policy clearly defines information security roles and responsibilities for all personnel, and all personnel are aware of and acknowledge their information security responsibilities.","12.1.3.a
Examine the information security policy to verify that they clearly define information security roles and responsibilities for all personnel.
12.1.3.b
Interview personnel in various roles to verify they understand their information security responsibilities.
Examine documented evidence to verify
12.1.3.c personnel acknowledge their information security responsibilities.
Defined Approach Testing Procedures
12.1.4
Examine the information security policy to verify that information security is formally assigned to a Chief Information Security Officer or other information security-knowledgeable member of executive management.","A designated member of executive management is responsible for information security.","","Without clearly defined security roles and responsibilities assigned, there could be misuse of the organization's information assets or inconsistent interaction with information security personnel, leading to insecure implementation of technologies or use of outdated or insecure technologies.
Purpose
To ensure someone with sufficient authority and responsibility is actively managing and championing the organization's information security program, accountability and responsibility for information security needs to be assigned at the executive level within an organization.
Common executive management titles for this role include Chief Information Security Officer
(CISO) and Chief Security Officer (CSO – to meet this requirement, the CSO role must be responsible for information security). These positions are often at the most senior level of management and are part of the chief executive level or C-level, typically reporting to the Chief
Executive Officer or the Board of Directors.","Entities should also consider transition and/or succession plans for these key personnel to avoid potential gaps in critical security activities.","","",""
"12.3.1","12","12.3","Risks to the cardholder data environment are formally identified, evaluated, and managed.","Each PCI DSS requirement that provides

flexibility for how frequently it is performed (for example, requirements to be performed periodically)
is supported by a targeted risk analysis that is documented and includes: • Identification of the assets being protected. • Identification of the threat(s) that the requirement is protecting against. • Identification of factors that contribute to the likelihood and/or impact of a threat being realized. • Resulting analysis that determines, and includes justification for, how frequently the requirement must be performed to minimize the likelihood of the threat being realized. • Review of each targeted risk analysis at least once every 12 months to determine whether the results are still valid or if an updated risk analysis is needed. • Performance of updated risk analyses when needed, as determined by the annual review.","Examine documented policies and

procedures to verify a process is defined for performing targeted risk analyses for each PCI
DSS requirement that provides flexibility for how frequently the requirement is performed, and that the process includes all elements specified in this requirement.","Up to date knowledge and assessment of risks to the CDE are maintained.","This requirement is a best practice until 31 March
2025, after which it will be required and must be fully considered during a PCI DSS assessment.","Some PCI DSS requirements allow an entity to define how frequently an activity is performed based on the risk to environment. Performing this risk analysis according to a methodology ensures validity and consistency with policies and procedures.
This targeted risk analysis (as opposed to a traditional enterprise-wide risk assessment)
focuses on those PCI DSS requirements that allow an entity flexibility about how frequently an entity performs a given control. For this risk analysis, the entity carefully evaluates each PCI
DSS requirement that provides this flexibility and determines the frequency that supports adequate security for the entity, and the level of risk the entity is willing to accept.
The risk analysis identifies the specific assets, such as the system components and data—for example, log files, or credentials—that the requirement is intended to protect, as well as the threat(s) or outcomes that the requirement is protecting the assets from—for example, malware, an undetected intruder, or misuse of credentials. Examples of factors that could contribute to likelihood or impact include any that could increase the vulnerability of an asset to a threat—for example, exposure to untrusted networks, complexity of environment, or high staff turnover—as well as the criticality of the system components, or volume and sensitivity of the data, being protected.
(continued on next page)","","","",""
"12.3.2","12","12.3",".2 A targeted risk analysis is performed for each PCI DSS requirement that the entity meets with the customized approach, to include:","A targeted risk analysis is performed for each
PCI DSS requirement that the entity meets with the customized approach, to include: • Documented evidence detailing each element specified in Appendix D: Customized Approach
(including, at a minimum, a controls matrix and risk analysis). • Approval of documented evidence by senior management. • Performance of the targeted analysis of risk at least once every 12 months.","Examine the documented targeted risk analysis for each PCI DSS requirement that the entity meets with the customized approach to verify that documentation for each requirement exists and is in accordance with all elements specified in this requirement.","This requirement is part of the customized approach and must be met for those using the customized approach.","This requirement only applies to entities using a
Customized Approach.","A risk analysis following a repeatable and robust methodology enables an entity to meet the customized approach objective.","","","The customized approach to meeting a PCI DSS requirement allows entities to define the controls used to meet a given requirement's stated
Customized Approach
Objective in a way that does not strictly follow the defined requirement.
These controls are expected to at least meet or exceed the security provided by the defined requirement and require extensive documentation by the entity using the customized approach.","See
Appendix D:
Customized Approach for instructions on how to document the required evidence for the customized approach.
See Appendix E
Sample Templates to Support
Customized Approach for templates that entities may use to document their customized controls.
Note that while use of the templates is optional, the information specified within each template must be documented and provided to each entity's assessor."
"12.3.3","12","12.3",".3 Cryptographic cipher suites and protocols in use are documented and reviewed at least once every 12 months, including at least the following: • An up-to-date inventory of all cryptographic cipher suites and protocols in use, including purpose and where used.","Cryptographic cipher suites and protocols in use are documented and reviewed at least once every 12 months, including at least the following: • An up-to-date inventory of all cryptographic cipher suites and protocols in use, including purpose and where used. • Active monitoring of industry trends regarding continued viability of all cryptographic cipher suites and protocols in use. • A documented strategy to respond to anticipated changes in cryptographic vulnerabilities.","Protocols and encryption strengths may quickly
Examine documentation for cryptographic

suites and protocols in use and interview personnel to verify the documentation and review is in accordance with all elements specified in this requirement.
cryptographic implementations.
Good Practice alternative to the original encryption method or algorithms will be deprecated by standards
Definitions monitor and manage the encryption and related","The entity is able to respond quickly to any vulnerabilities in cryptographic protocols or algorithms, where those vulnerabilities affect protection of cardholder data.","The requirement applies to all cryptographic suites and protocols used to meet PCI DSS requirements.
This requirement is a best practice until 31 March
2025, after which it will be required and must be fully considered during a PCI DSS assessment.","change or be deprecated due to identification of vulnerabilities or design flaws. In order to support current and future data security needs, entities need to know where cryptography is used and understand how they would be able to respond rapidly to changes impacting the strength of their
Cryptographic agility is important to ensure an cryptographic primitive is available, with plans to upgrade to the alternative without significant change to system infrastructure. For example, if the entity is aware of when protocols or bodies, it can make proactive plans to upgrade before the deprecation is impactful to operations.
""Cryptographic agility"" refers to the ability to verification technologies deployed across an organization.","","","","Refer to NIST
SP 800-131a,
Transitioning the
Use of Cryptographic Algorithms and Key
Lengths."
"12.4.1","12","12.4","PCI DSS compliance is managed.","Additional requirement for service providers only:
Responsibility is established by executive management for the protection of cardholder data and a PCI DSS compliance program to include: • Overall accountability for maintaining PCI DSS compliance. • Defining a charter for a PCI DSS compliance program and communication to executive management.","Additional testing procedure for service provider assessments only:
Examine documentation to verify that executive management has established responsibility for the protection of cardholder data and a PCI DSS compliance program in accordance with all elements specified in this requirement.","Executives are responsible and accountable for security of cardholder data.","This requirement applies only when the entity being assessed is a service provider.
Executive management may include C-level positions, board of directors, or equivalent. The specific titles will depend on the particular organizational structure.
Responsibility for the PCI DSS compliance program may be assigned to individual roles and/or to business units within the organization.","Executive management assignment of PCI DSS compliance responsibilities ensures executive level visibility into the PCI DSS compliance program and allows for the opportunity to ask appropriate questions to determine the effectiveness of the program and influence strategic priorities.","","","",""
"12.4.2","12","12.4",".2 Additional requirement for service Reviews are performed at least providers only: once every three months to confirm that personnel are performing their tasks in accordance with all security policies and operational procedures. Reviews are performed by personnel other than those responsible for performing the given task and include, but are not limited to, the following tasks:","Additional requirement for service
Reviews are performed at least providers only:
once every three months to confirm that personnel are performing their tasks in accordance with all security policies and operational procedures.
Reviews are performed by personnel other than those responsible for performing the given task and include, but are not limited to, the following tasks: • Daily log reviews. • Configuration reviews for network security controls. • Applying configuration standards to new systems. • Responding to security alerts. • Change-management processes.","12.4.2.a
Additional testing procedure for
Examine service provider assessments only:
policies and procedures to verify that processes are defined for conducting reviews to confirm that personnel are performing their tasks in accordance with all security policies and all operational procedures, including but not limited to the tasks specified in this requirement.
12.4.2.b
Additional testing procedure for
Interview service provider assessments only:
responsible personnel and examine records of reviews to verify that reviews are performed: • At least once every three months. • By personnel other than those responsible for performing the given task.","The operational effectiveness of critical PCI DSS controls is verified periodically by manual inspection of records.","This requirement applies only when the entity being assessed is a service provider.","Regularly confirming that security policies and procedures are being followed provides assurance that the expected controls are active and working as intended. This requirement is distinct from other requirements that specify a task to be performed. The objective of these reviews is not to reperform other PCI DSS requirements, but to confirm that security activities are being performed on an ongoing basis.","These reviews can also be used to verify that appropriate evidence is being maintained—for example, audit logs, vulnerability scan reports, reviews of network security control rulesets—to assist in the entity's preparation for its next PCI
DSS assessment.","Looking at Requirement 1.2.7 as one example,
Requirement 12.4.2 is met by confirming, at least once every three months, that reviews of configurations of network security controls have occurred at the required frequency. On the other hand, Requirement 1.2.7 is met by reviewing those configurations as specified in the requirement.","",""
"12.4.2.1","12","12.4",".2.1 Additional requirement for service Reviews conducted in accordance providers only: with Requirement 12.4.2 are documented to include: • Results of the reviews. • Documented remediation actions taken for any tasks that were found to not be performed at Requirement 12.4.2. • Review and sign-off of results by personnel assigned responsibility for the PCI DSS compliance program.","Additional requirement for service
Reviews conducted in accordance providers only:
with Requirement 12.4.2 are documented to include: • Results of the reviews. • Documented remediation actions taken for any tasks that were found to not be performed at
Requirement 12.4.2. • Review and sign-off of results by personnel assigned responsibility for the PCI DSS compliance program.","Additional testing procedure for
Examine service provider assessments only:
documentation from the reviews conducted in accordance with PCI DSS Requirement 12.4.2 to verify the documentation includes all elements specified in this requirement.","Findings from operational effectiveness reviews are evaluated by management; appropriate remediation activities are implemented.","This requirement applies only when the entity being assessed is a service provider.","The intent of these independent checks is to confirm whether security activities are being performed on an ongoing basis. These reviews can also be used to verify that appropriate evidence is being maintained—for example, audit logs, vulnerability scan reports, reviews of network security control rulesets—to assist in the entity's preparation for its next PCI DSS assessment.","","","",""
"12.5.1","12","12.5","PCI DSS scope is documented and validated.","An inventory of system components that are

in scope for PCI DSS, including a description of function/use, is maintained and kept current.","Examine the inventory to verify it includes
12.5.1.a all in-scope system components and a description of function/use for each.
Interview personnel to verify the inventory
12.5.1.b is kept current.","All system components in scope for PCI DSS are identified and known.","","Maintaining a current list of all system components will enable an organization to define the scope of its environment and implement PCI
DSS requirements accurately and efficiently.
Without an inventory, some system components could be overlooked and be inadvertently excluded from the organization's configuration standards.","If an entity keeps an inventory of all assets, those system components in scope for PCI DSS should be clearly identifiable among the other assets.
Inventories should include containers or images that may be instantiated.
Assigning an owner to the inventory helps to ensure the inventory stays current.","Methods to maintain an inventory include as a database, as a series of files, or in an inventory management tool.","",""
"12.5.2","12","12.5","","PCI DSS scope is documented and

confirmed by the entity at least once every 12 months and upon significant change to the in-scope environment. At a minimum, the scoping validation includes: • Identifying all data flows for the various payment stages (for example, authorization, capture settlement, chargebacks, and refunds) and acceptance channels (for example, card-present, card-not-present, and e-commerce). • Updating all data-flow diagrams per
Requirement 1.2.4. • Identifying all locations where account data is stored, processed, and transmitted, including but not limited to: 1) any locations outside of the currently defined CDE, 2) applications that process
CHD, 3)
transmissions between systems and networks, and 4) file backups. • Identifying all system components in the CDE, connected to the CDE, or that could impact security of the CDE. • Identifying all segmentation controls in use and the environment(s) from which the CDE is segmented, including justification for environments being out of scope. • Identifying all connections from third-party entities with access to the CDE. • Confirming that all identified data flows, account data, system components, segmentation controls, and connections from third parties with access to the
CDE are included in scope.","Examine documented results of scope
12.5.2.a reviews and interview personnel to verify that the reviews are performed: • At least once every 12 months. • After significant changes to the in-scope environment.
12.5.2.b
Examine documented results of scope reviews performed by the entity to verify that PCI
DSS scoping confirmation activity includes all elements specified in this requirement.","","","Frequent validation of PCI DSS scope helps to ensure PCI DSS scope remains up to date and aligned with changing business objectives, and therefore that security controls are protecting all appropriate system components.","Accurate scoping involves critically evaluating the
CDE and all connected system components to determine the necessary coverage for PCI DSS requirements. Scoping activities, including careful analysis and ongoing monitoring, help to ensure that in-scope systems are appropriately secured.
When documenting account data locations, the entity can consider creating a table or spreadsheet that includes the following information: • Data stores (databases, files, cloud, etc.), including the purpose of data storage and the retention period, • Which CHD elements are stored (PAN, expiry date, cardholder name, and/or any elements of SAD prior to completion of authorization), • How data is secured (type of encryption and strength, hashing algorithm and strength, truncation, tokenization), • How access to data stores is logged, including a description of logging mechanism(s) in use (enterprise solution, application level, operating system level, etc.).
(continued on next page)","","",""
